RMSE,SPECTRAL_CENTROID,SPECTRAL_BANDWIDTH,ROLLOFF,ZERO_CROSSING_RATE,MFCC_FEATURE_0,MFCC_FEATURE_1,MFCC_FEATURE_2,MFCC_FEATURE_3,MFCC_FEATURE_4,MFCC_FEATURE_5,MFCC_FEATURE_6,MFCC_FEATURE_7,MFCC_FEATURE_8,MFCC_FEATURE_9,MFCC_FEATURE_10,MFCC_FEATURE_11,MFCC_FEATURE_12,MFCC_FEATURE_13,MFCC_FEATURE_14,MFCC_FEATURE_15,MFCC_FEATURE_16,MFCC_FEATURE_17,MFCC_FEATURE_18,MFCC_FEATURE_19,LABEL
0.03364557,1523.093601176316,1627.7562531665549,2986.075533353365,0.0831129807692307,-281.98926,135.22166,-30.754803,28.709341,-4.9819465,7.8936186,-7.0558457,4.271672,3.262421,11.049931,3.2614338,4.4882116,-4.4361906,0.9093869,0.15270221,-0.4134634,4.908321,-1.5685328,11.166565,-3.7696676,piano
0.20961323,1970.758472562202,2202.5767854902424,4143.733661358173,0.0875563401442307,-39.0225,105.473785,-15.755032,34.957916,7.9646072,17.353344,-1.7123077,4.798738,-6.7263765,-3.763527,-12.087018,0.23644266,-6.8567963,-1.7691389,-7.262663,-1.2234459,-6.05571,-3.277271,-5.3441343,0.22607131,electric_guitar
0.3359243,2675.0011487289494,2849.4757399872565,6125.865009014423,0.0887807992788461,24.152483,78.110954,9.394855,27.94921,10.106745,18.619987,4.476648,10.101301,0.47854832,5.5951133,2.780935,4.0845203,2.6085138,3.2867646,-0.8217987,4.38568,-1.044341,1.7768306,-0.17518282,3.1559799,electric_guitar
0.08223988,2646.7677300630003,2626.763599674592,5509.3528395432695,0.1007737379807692,-122.70322,64.20114,-4.515223,51.67944,20.757057,16.787346,8.354047,4.835218,0.10244258,9.594865,4.9343667,0.9173362,-2.2480168,11.381333,2.968758,4.8438616,3.019249,-1.421159,1.6829596,3.9253616,electric_guitar
0.18897976,2614.8607729399328,2512.292593095187,5300.812049278846,0.1275841346153846,-19.774275,75.288475,-8.44284,41.541904,5.409585,15.033898,-4.37908,0.60159147,6.332342,1.467825,-1.5507317,9.433319,-1.350392,4.450556,7.321849,3.217755,-4.502125,2.2847722,2.9560454,8.1044235,electric_guitar
0.03944777,1033.792253402946,1214.668157778679,1517.01416015625,0.0688589242788461,-367.89236,162.16908,-4.3687577,-8.095378,3.9145174,-12.032202,-6.77035,8.303759,4.3463078,-2.194796,-6.0095506,-1.0974029,-1.339239,3.0249195,2.7117023,2.238053,1.0974725,-4.2081976,-7.0842752,-9.512334,piano
0.07336303,2201.7456375190327,2415.8182114952624,4584.253305288462,0.0817345252403846,-167.23602,75.18316,-9.969826,51.446476,18.6324,16.282875,17.034645,15.230895,5.056591,4.9719286,0.7833626,6.085123,-4.0778065,8.555127,-5.86441,7.82092,-1.0454892,3.703134,-2.8209937,-5.5213223,electric_guitar
0.25461724,1794.894516649771,2175.638981861267,3938.257211538461,0.0798264723557692,-73.75406,106.16498,5.4000144,42.91531,-3.3290167,1.2490157,-15.5373745,16.395369,-3.3688116,1.1643897,-6.9276834,6.5509953,-7.0829234,4.035842,-0.87165505,2.045381,-11.153179,-8.727372,-8.193466,-2.1826255,electric_guitar
0.029998736,1230.8706075794005,1397.199330926168,2304.384014423077,0.0675931490384615,-313.2699,161.12434,-33.199345,20.852942,12.924313,-10.644897,-3.4239862,3.9537015,-2.860688,1.2905743,-5.943024,3.9536846,-1.8974795,7.867015,0.6667025,0.24054968,-1.078218,-3.2290537,3.5301778,-1.4381564,piano
0.11405789,877.6981754169739,1809.59574562053,1234.1009990985576,0.0242600661057692,-285.08203,139.16217,67.35993,40.489254,13.977466,13.424022,5.5955396,4.840985,-4.8845043,1.1453108,-3.8857934,-2.1924386,-11.963575,-7.109871,-6.2728677,-2.0533218,-5.836265,0.2794941,-1.4655696,0.8843889,electric_guitar
0.18843123,2243.50068208495,2528.4566743465293,5087.964618389423,0.08203125,-86.9325,93.334305,12.585077,16.080606,-2.5248854,11.681506,-20.37944,-1.1110117,-8.123696,-3.5954444,-6.8239775,-1.5251479,4.6422777,14.041725,8.892126,8.572841,-3.474211,-7.7180796,-13.271606,-10.677183,electric_guitar
0.07184727,1693.108750553147,1600.5382671172608,3237.102989783654,0.1012545072115384,-210.3376,132.60832,-40.79599,44.669598,-25.791039,-17.18572,-4.8319907,-2.1959636,-3.039699,2.1477227,-1.0122668,-10.563736,-9.991482,-0.5704312,0.024455767,0.040474113,9.104238,5.2272797,-4.4162407,7.388326,piano
0.28564143,2250.1100962358382,2162.404966135088,4491.080791766827,0.1103177584134615,26.45456,97.22394,-32.436745,39.453907,-1.0513474,12.63787,2.209214,11.351886,6.768093,1.2161642,1.186818,2.5153615,-2.6292381,1.0578526,-5.759074,2.5164413,-6.7129564,-4.1280994,2.1800697,1.0510153,electric_guitar
0.060320128,876.987048079989,945.5852365741785,1379.2844801682693,0.0541466346153846,-298.18915,196.74385,-29.573078,9.902428,-7.7570586,-9.77843,-5.5071654,-6.163039,-5.498652,-2.351578,-14.9522505,-13.6074705,-5.809145,0.75526947,1.1579384,-0.38652655,-2.34651,-10.841743,-8.963418,0.4059676,piano
0.025713626,1118.6732104178277,1099.082733916484,1863.947190504808,0.0737980769230769,-349.76654,177.81728,-44.21921,9.845028,-11.90042,-0.7788825,-7.8852434,-2.017853,-0.15500559,-2.4287026,-11.9729395,-13.615632,-4.0418286,2.2869444,6.7879467,8.001319,7.7115455,7.93679,-1.9364502,-10.074431,piano
0.28227413,2329.031987624204,2270.411555963601,4488.927471454327,0.1330341045673077,-7.179182,85.52462,-8.503916,53.18251,-2.77248,0.93729764,-2.9198458,-3.2549934,-21.506512,-4.712106,-14.036588,-8.78842,-7.9921107,3.7213204,2.6266024,6.362415,-2.939732,2.9142246,5.492825,0.33820894,electric_guitar
0.34381154,2468.886406963704,2325.211966101356,4782.027493990385,0.1321965144230769,44.13052,82.00989,-34.242516,23.769655,16.55038,9.944342,-2.591887,8.067733,3.6746364,3.172108,-2.4846776,4.738495,-3.4905832,-0.6771598,-2.7959292,-0.11324416,-8.637726,-1.4146297,-3.7301903,-4.298165,electric_guitar
0.29057118,2713.913013172388,2604.36696838023,5617.598595252404,0.1372934194711538,24.58093,72.43315,-8.430652,35.235012,12.168024,4.0176964,-0.72339404,3.1642456,-4.9329348,3.589965,3.588026,14.699634,2.624918,-1.3250622,-3.448407,-0.64009964,-3.5711613,-1.6278332,-8.124515,-6.1753974,electric_guitar
0.030916888,1394.0239725183328,1301.9907702610765,2512.262244591346,0.0822904146634615,-358.57355,148.7835,-55.969826,21.239792,-2.2724357,-18.340475,6.626338,-0.47426495,-1.3985027,1.9769217,3.3271081,3.514266,4.7690334,3.958313,0.91738534,-0.7830028,-3.6584709,-6.808892,-4.05054,-2.0517502,piano
0.09100513,535.5516007042985,436.3652655355331,781.4896334134615,0.0432016225961538,-365.14774,216.00645,54.053394,-18.959019,-6.243829,1.9442657,-14.643262,-18.23441,-6.0485425,-2.1301725,-8.780852,-10.389108,-3.9664636,0.19981924,-2.8159359,-4.724785,-0.78415984,-0.26943067,-8.416616,-12.647031,piano
0.3013382,2291.003564588327,2228.264256525033,4429.876802884615,0.1292555588942307,-7.9532714,87.24753,-12.130651,55.07027,-3.5327559,-0.9191013,-3.0341754,0.49159682,-19.201809,-5.5561547,-12.351904,-7.9101977,-10.014857,2.9189017,0.26530257,3.879836,-4.6669602,0.43337622,2.5960543,0.43487957,electric_guitar
0.18362659,996.6798963158276,1321.0600118370307,1612.5884540264424,0.0513596754807692,-150.45486,171.40588,-15.394473,20.819181,-17.094547,-11.306593,-21.829967,1.914985,-17.59342,-1.2342227,-4.007592,-0.5810644,-14.066245,0.51989067,-8.419024,-4.800336,7.153199,12.116982,7.5075045,0.3390243,piano
0.030182064,948.2365190168372,1051.9899182887375,1680.5008638822114,0.0524301382211538,-300.45596,201.49777,-45.240093,31.592983,-10.892871,5.724187,-4.8893294,-10.932886,-18.676878,-14.922993,-4.4571276,-3.4447103,-3.3188922,-15.065695,-9.199558,-1.7862331,-2.439317,-2.869346,1.445591,-1.88091,piano
0.27159783,2303.492404002873,2478.3414221725525,4666.576397235577,0.0894719050480769,-74.68005,61.597385,-11.43922,66.046906,30.930225,2.9280128,11.412136,-2.4110596,10.084142,8.125184,14.393392,19.599075,12.610765,13.168885,11.412227,17.172104,9.274172,5.8966475,-0.9767577,0.8893458,electric_guitar
0.010488818,547.7823908334784,937.4158388083396,858.5122445913462,0.0267202524038461,-515.35565,217.24098,28.726479,-3.1447992,12.945581,9.735139,-1.151251,-3.0626361,-1.2896295,-1.5891601,-1.4968948,-0.65038806,-2.2089856,-3.8604422,-2.1958544,-1.1129122,-1.9720503,-2.3786626,-2.252009,-0.9139776,piano
0.1026532,1009.7871437345112,1176.6122529960282,1884.0724534254807,0.05341796875,-192.69112,182.73772,-42.935368,38.53865,-13.196444,5.8257155,-17.448673,-0.48829493,-11.648293,-4.5765224,-6.4809027,-11.994129,-4.771013,1.9199965,7.1531634,6.506034,1.6316941,-5.992767,-10.187341,-9.669786,piano
0.03705979,1266.6952563497075,1693.956058813825,2089.134803185096,0.0608736478365384,-342.86304,139.56847,-4.653543,14.724155,-2.731636,-4.880625,-8.976685,1.6287631,-4.9451375,-12.253433,-21.28706,-19.583292,-21.527607,-9.712731,-3.8197923,5.6867986,2.4523017,-0.056685083,-0.6278464,8.086913,piano
0.11244686,818.005029910633,1054.8340394464433,1375.226299579327,0.0466083233173076,-257.94034,197.49643,-16.065565,5.875029,6.829616,-10.332455,-17.313791,-17.966927,-14.745702,-10.397442,-12.761448,-14.448491,-20.00582,-10.870412,-9.661782,-13.07916,-11.145795,-8.212251,-8.621595,-0.63473153,piano
0.038967747,1210.365606229156,1380.2574661500273,2316.144456129808,0.0644906850961538,-291.22464,167.34709,-33.57255,32.35279,2.7207224,-3.189337,-17.127542,5.1989813,-7.8996096,3.0104094,-8.753972,-0.61989295,-8.025067,3.2978384,0.7083941,4.2362595,3.5557532,-3.6705728,-0.15307741,-6.9422455,piano
0.22486056,1840.1683977344128,2277.811162033843,3987.038198617789,0.0537334735576923,-90.90096,115.42375,22.108126,26.309393,-4.1771193,10.650192,-2.7184086,1.4021384,-3.7270586,4.321426,-2.2000904,-2.0051618,-7.9201784,-2.3514845,-1.9183004,0.8885183,-4.3732805,-1.5410858,-6.0954294,-2.7340071,electric_guitar
0.032723382,921.5771414293692,1081.7975920572485,1478.0059344951924,0.0599271334134615,-316.6666,202.83513,-25.404236,9.987386,-12.861575,-8.503863,-12.105717,-0.3290926,5.203182,3.4786093,-4.2175956,0.48563352,-0.6388171,-0.72932553,-0.5919592,-0.836517,-1.617547,-1.8800609,-1.1061667,-1.67814,piano
0.057406764,1619.837175547046,2375.757422297365,3720.7718599759614,0.0424842247596153,-277.25613,113.60751,35.751,13.885767,-1.4621162,15.237602,7.747549,13.383765,-5.481416,7.182006,-4.582198,5.764854,0.694844,-1.4544549,-8.8675995,1.0697495,-2.1458702,-4.3072743,-2.110762,2.2492626,piano
0.031594012,1366.8234401758966,1427.1930864115684,2043.997896634616,0.0882286658653846,-304.86734,161.73903,-37.484787,-15.338218,-9.882733,5.443072,-8.959225,9.200278,5.0062103,-3.0020015,-19.904755,1.0367935,4.765719,-1.3706754,-3.0291395,0.7187186,5.087392,11.874032,5.1011467,7.233288,piano
0.043524686,751.3922658107335,810.1439037402146,1276.0079251802886,0.0507474459134615,-335.00446,231.87566,-28.7249,6.49238,4.280536,-5.5925756,2.4450712,-7.1804976,-3.7484384,1.9062176,-3.118262,-8.569885,-7.567363,-3.9612164,-6.313194,-6.0820823,-2.1602027,-0.3805314,0.34027064,-1.1328012,piano
0.012437932,601.032198109096,877.7604443971435,925.2651742788462,0.0370567908653846,-486.9721,226.41238,7.3130193,15.10773,17.706682,0.38031453,-5.1902704,-6.3085275,-4.776994,-5.9206767,-13.123126,-6.3138633,-0.8009866,-0.6974647,2.5251179,3.3233151,1.2424715,-3.5954483,-7.354696,-1.9024825,piano
0.0044771736,654.6186164602389,1182.0706576899188,947.2952974759615,0.0415677584134615,-584.00916,202.86877,45.364353,3.697176,6.157031,6.990097,-1.1958807,0.43910363,3.7730665,9.133828,-3.079564,-9.124338,-12.8648,-2.079118,-2.8775213,-3.30639,-4.930049,5.3488865,1.6239904,-6.1568103,piano
0.048588876,1619.633175199221,1461.841756007729,3112.62451171875,0.0941932091346153,-221.28282,160.91519,-68.89142,48.834545,-30.286596,0.2622358,-17.97209,11.893313,-8.505512,11.05502,5.216347,2.7540545,4.7582717,-6.6016893,-2.8543968,-11.831924,0.7382918,-7.3474054,-2.346423,2.0504303,piano
0.16213945,2759.169313345737,2440.024124469209,5274.392465444712,0.1578763521634615,-19.306112,67.692245,-23.36772,39.675827,5.4143634,7.902306,-1.6977743,5.1532865,2.5801663,7.511036,0.14627765,8.159409,-2.4894621,3.7706914,-4.492116,-0.46900657,-6.019549,-5.3143597,-9.212493,-4.306225,electric_guitar
0.26879779,620.4280794285256,481.641018733657,1089.9941781850962,0.0434269831730769,-234.71277,229.34601,17.869547,-29.873783,13.527416,8.604376,-17.967762,-13.340119,-8.039122,-13.441919,-9.098955,-1.9072096,-4.3551,-6.7105823,-6.7940273,-6.964406,-0.26315168,9.906165,5.988968,-9.960586,electric_guitar
0.2225195,2801.6880581015,2906.5148833831336,6383.766526442308,0.1241849459134615,-20.913382,72.37266,16.82044,33.597694,7.91127,9.24906,1.1624867,3.1930833,5.0555267,7.3145766,1.7152748,6.465659,0.65938145,9.142395,-2.0517287,-0.41874132,-5.399644,0.81464666,-10.864327,-6.4513917,electric_guitar
0.23303482,1922.0977726683489,1484.0196212149488,3552.315955528846,0.108935546875,-107.749115,121.988,-82.45635,88.85152,-23.311295,-15.793157,-27.267807,-25.629526,-2.7956245,-23.782955,-5.043925,-16.081306,-7.802123,-2.7015574,-4.223282,1.8256754,-12.828292,-1.8068739,-6.2040877,-1.7959341,electric_guitar
0.046719275,1157.842958236556,1650.760608391626,2319.2916165865386,0.0441256009615384,-278.56528,148.25374,-2.4551556,29.831434,1.8256723,21.556707,-6.6513505,3.6733806,-6.311514,1.9745204,-1.5777825,0.9053915,-2.7651696,0.60116696,-1.3035088,3.6220121,-4.657681,0.23274519,4.608314,-2.0688212,piano
0.33435336,2780.1827992688363,2893.114310076548,6352.294921875,0.1008000300480769,32.830124,74.70458,10.268341,27.75699,9.793378,17.48135,3.2515051,9.34648,-1.6383507,5.230265,2.2884536,4.107599,0.7857393,2.1086402,-1.0267,6.087568,0.27505764,1.5815679,0.11530433,3.9357615,electric_guitar
0.05637742,761.5643294062436,1116.2333817298793,1245.69580078125,0.0415564903846153,-328.5661,188.51888,2.2351375,16.341099,12.347861,-0.59445435,-8.924936,1.5256592,3.1843398,2.2464538,2.0710275,10.638807,5.765993,7.959483,0.340735,-2.9228704,-6.954,-5.341087,-2.930842,-7.2794256,electric_guitar
0.017072583,1215.3544996130777,1262.0521127923057,2280.3662109375,0.0847919170673077,-361.80426,178.18028,-50.31576,30.948328,-5.611349,2.1447573,0.21066754,-3.7183762,-7.3800964,-1.8478811,-8.6774,-7.2467785,-2.4667213,1.5268939,-2.1262677,-5.0142646,-3.5408635,0.89248663,0.077257715,-10.65438,piano
0.033097092,808.0507263554997,1074.3070181837847,1276.4220252403843,0.0491962139423076,-368.188,195.57266,-3.9805405,8.677097,12.968481,0.5193322,-4.676352,2.8879278,-5.0650315,-6.369408,-4.979987,-0.4842717,-6.8261566,-0.8166178,-2.0085073,-0.713226,0.74131286,-1.4214892,0.14677759,-0.36906537,piano
0.040901624,1141.352214378328,1351.245553981178,2176.261455829327,0.0582181490384615,-274.47263,171.2512,-27.881458,28.31872,-13.295203,-5.535821,-4.707257,-1.8505152,-0.70336497,7.859157,0.40300897,7.7954926,-4.6445875,-0.11893827,-8.350034,-8.807669,-2.8345716,-4.8712144,-0.6117196,-3.1866438,piano
0.1755468,2167.5400263274983,1546.7517723373458,3830.342735877404,0.1776479867788461,-106.979,127.26178,-75.12096,82.9483,-37.874985,0.43106174,-17.823114,1.2474906,-12.048933,-12.96051,-7.250533,5.4784145,-14.19874,-12.533218,-4.6534986,-0.4183112,4.754759,-8.631006,-10.23844,-10.010405,electric_guitar
0.088582315,1833.9463551075603,2388.019651514929,4228.789813701923,0.0600698617788461,-155.89174,115.92761,10.554824,24.620264,11.849762,15.118733,4.33623,6.446719,-3.0447204,-1.1368357,0.20333514,7.4819956,0.6031701,3.9879339,-3.1960802,0.2830716,1.8927466,6.897848,-0.051721193,-0.07652494,piano
0.21683232,2782.517815809331,2389.862812892864,5405.413724459135,0.1771935096153846,6.573025,69.674255,-24.578083,41.97513,0.019454926,11.8449745,-1.7635825,2.779858,-2.586595,-0.7481355,1.1713119,1.256083,3.7768607,-5.841872,-0.7886948,3.4173274,-9.975936,1.7255691,-12.274288,1.8078077,electric_guitar
0.063579544,1013.011043902008,1050.647848207517,1686.7123647836538,0.0635854867788461,-251.17969,190.69872,-40.096104,9.683761,-13.976923,-8.208239,-18.232883,-7.8321214,-8.866371,-7.936978,-1.775821,1.8053453,0.33776754,-2.2260807,-9.31329,-8.493472,-4.4651065,-9.413721,-4.6593175,4.2055163,piano
0.08805583,1736.8863472604562,2784.557190819572,4506.485314002404,0.0424954927884615,-238.39703,101.23986,69.45497,31.176743,21.838427,5.5909076,2.1758823,8.364663,-6.7701125,-1.6010144,-2.036792,-0.7191821,-13.423522,-1.989795,0.28403807,-1.0613457,-11.236146,-1.8149726,1.3401003,-0.9943317,electric_guitar
0.13479172,2623.8239044189822,2682.417082344353,5607.1632737379805,0.1130258413461538,-102.894035,72.90524,2.777671,30.841696,31.364376,20.960688,-4.093358,7.68544,4.5396867,3.556619,2.5987766,5.957838,-0.36980602,2.123758,2.1358547,5.3373675,0.5402744,-0.00800297,-10.783013,-5.578727,electric_guitar
0.047888737,1283.1015758749445,1351.0703971672638,2111.744666466346,0.0798076923076923,-266.4774,164.03915,-36.808678,1.5624014,-15.211449,-0.5408513,-14.8597555,-7.161226,-16.932304,-0.5221216,-1.5758581,-0.65453243,-8.268249,-0.08548998,2.2038224,4.12797,-1.9238465,-6.016533,1.6890401,2.3303213,piano
0.09221824,759.231276018293,1225.8953108716878,1161.385028545673,0.0361703725961538,-263.0797,183.62076,7.4405255,23.052397,5.050454,11.345744,-1.3880345,-1.4473667,-0.72061336,-0.13765399,0.24337792,0.2755684,2.2326565,3.7905676,-1.4677843,-0.13094749,-0.3362529,1.6716619,0.38680702,0.69889843,piano
0.058056742,1354.282199858776,1859.9741136098432,2693.223970853365,0.0465594951923076,-244.67834,131.63965,-1.4220864,22.338266,1.7554908,17.65211,-9.120753,4.645248,-7.9041243,3.353053,-3.4640527,0.08882963,-5.4035993,2.414168,-1.2867073,1.7171273,-6.896,0.7528789,0.6386339,-4.150201,piano
0.14013912,1639.618512147866,2118.3879460234607,3641.8443885216334,0.0540715144230769,-124.12002,114.60435,-6.5403876,38.25416,9.768179,16.200792,0.8353991,-0.44048032,-3.7131305,1.3648541,-4.6588783,4.6675396,-5.6952972,-4.574425,-5.424678,-6.6965933,-9.518982,2.277676,0.16170096,-1.1495893,electric_guitar
0.0409916,1296.2087155952167,2005.6283593496432,2779.108323317308,0.034258563701923,-340.9599,114.06153,17.642653,36.291134,0.8139515,14.104894,-1.4019214,-7.630417,-5.372191,-4.36807,-0.6976678,9.679618,6.160748,6.139074,2.138389,8.10793,10.228562,14.060226,6.9410143,3.6382785,piano
0.22523656,2753.004228609117,2427.8900156328177,5421.563626802885,0.1643442007211538,13.653717,70.96408,-22.938383,38.390656,3.3259523,15.897624,0.3958668,6.0052342,0.21021195,-0.16227728,-2.4971337,0.8743199,0.22097024,-7.64618,-2.592842,1.9261755,-6.288582,5.6831627,-4.186564,3.7878935,electric_guitar
0.17017843,2205.6795482490265,1317.683122522636,3495.3357872596152,0.1779184194711538,-200.03331,107.915436,-71.622795,75.06143,-7.550185,-32.730488,20.339458,-15.15549,-20.13473,-7.141476,-11.488334,-9.543382,8.763695,13.012072,5.174482,1.6112347,-8.045456,-11.890711,-0.75552064,6.167295,electric_guitar
